target,name,k,n_common,kth_dist,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
station_14,CITIES@West Yas Island,3,140,17.710383699456752,140,9.768227140589154,10.53031932089431,7.8563511706297176,8.237357142857142,139,9.274582832269756,10.31304384657095,7.643488733731623,8.100863309352517,1,,,,,1,,,,,14,14.392560591755613,12.363780050731132,11.645171307924118,9.538571428571428
station_14,CITIES@West Yas Island,5,140,19.80172971062713,140,9.710433901142501,10.53031932089431,7.841362532361742,8.237357142857142,139,9.204076347423781,10.31304384657095,7.626144530047114,8.100863309352517,1,,,,,1,,,,,14,14.149290193039635,12.363780050731132,11.33926915280325,9.538571428571428
station_14,CITIES@West Yas Island,8,140,22.949873374573443,140,9.723560803188317,10.53031932089431,7.793525388724965,8.237357142857142,139,9.20693891770109,10.31304384657095,7.575271871151717,8.100863309352517,1,,,,,1,,,,,14,14.148279762713893,12.363780050731132,11.211513938749272,9.538571428571428
station_15,CITIES@Khalifa City 1,0,120,0.0,120,16.365625188957143,19.28836421697461,12.397009073776765,13.47575,113,14.824151749280158,17.97569844298892,11.452296243587016,12.65663716814159,7,32.310267838057094,34.083324997088276,27.647373332554146,26.69857142857143,6,34.74014109535848,36.63242825694196,30.897069156141004,29.656666666666666,12,28.18405461093506,28.485895193937647,24.489524819790333,21.777499999999993
station_15,CITIES@Khalifa City 1,1,120,3.2549169170075256,120,16.50453705771341,19.28836421697461,12.4987134109329,13.47575,113,14.981196873080377,17.97569844298892,11.53481682017012,12.65663716814159,7,32.35223963760466,34.083324997088276,28.058758376103498,26.69857142857143,6,34.700415682826886,36.63242825694196,31.052307468614874,29.656666666666666,12,28.282174323578978,28.485895193937647,24.86412673418464,21.777499999999993
station_15,CITIES@Khalifa City 1,2,120,4.363751979506319,120,16.43860296851273,19.28836421697461,12.479259730365648,13.47575,113,14.930400250496065,17.97569844298892,11.519197927220835,12.65663716814159,7,32.1552392341679,34.083324997088276,27.977400266846193,26.69857142857143,6,34.48279184229081,36.63242825694196,30.946043082937237,29.656666666666666,12,28.190206620340973,28.485895193937647,24.912677988311618,21.777499999999993
station_15,CITIES@Khalifa City 1,3,120,10.258127444035155,120,16.463070455184365,19.28836421697461,12.514303624094508,13.47575,113,14.968957487966128,17.97569844298892,11.562224037541924,12.65663716814159,7,32.080363113003344,34.083324997088276,27.883588378443324,26.69857142857143,6,34.41279704404744,36.63242825694196,30.875858312403057,29.656666666666666,12,27.835394853686555,28.485895193937647,24.47325957715728,21.777499999999993
station_15,CITIES@Khalifa City 1,5,120,14.150249657540432,120,16.39420227653711,19.28836421697461,12.46280184634923,13.47575,113,14.91847609388371,17.97569844298892,11.522684594436104,12.65663716814159,7,31.854578547730313,34.083324997088276,27.63898034151822,26.69857142857143,6,34.17105065136474,36.63242825694196,30.603704602643536,29.656666666666666,12,27.695824472693854,28.485895193937647,24.36311169477501,21.777499999999993
station_15,CITIES@Khalifa City 1,8,120,18.999433333757732,120,16.71589625476811,19.28836421697461,12.571455777378905,13.47575,113,15.249442621753296,17.97569844298892,11.607199614289701,12.65663716814159,7,32.18895325383265,34.083324997088276,28.137305267247477,26.69857142857143,6,34.401276028073696,36.63242825694196,30.77060397941121,29.656666666666666,12,28.069907212934115,28.485895193937647,24.89965634693888,21.777499999999993
station_16,CITIES@Khalifa City 2,0,129,0.0,129,14.503830972417948,16.82880285184768,10.921983490675935,12.07077519379845,124,12.81429005562804,15.248501645058601,10.023792038587834,11.126048387096775,5,36.81042213008012,39.24748807248688,33.19713150246087,35.5,4,,,,,13,25.826639700896106,26.758010015694364,21.28824526626118,20.39
station_16,CITIES@Khalifa City 2,1,129,3.1888539783616308,129,14.612120685623399,16.82880285184768,11.018425327977454,12.07077519379845,124,12.919380605089863,15.248501645058601,10.109267237698242,11.126048387096775,5,37.00385423966117,39.24748807248688,33.56554596690194,35.5,4,,,,,13,26.024805937039833,26.758010015694364,21.644296758269697,20.39
station_16,CITIES@Khalifa City 2,2,129,3.4881673514588383,129,14.586204381755824,16.82880285184768,11.047705954028585,12.07077519379845,124,12.882414585937848,15.248501645058601,10.133739037223176,11.126048387096775,5,37.059627970138784,39.24748807248688,33.714085490802674,35.5,4,,,,,13,26.07619227561475,26.758010015694364,21.809569439652574,20.39
station_16,CITIES@Khalifa City 2,3,129,8.966317246282633,129,14.637965260321288,16.82880285184768,11.089107560886308,12.07077519379845,124,12.86662673771134,15.248501645058601,10.16175678205918,11.126048387096775,5,37.71637074482417,39.24748807248688,34.087406875799125,35.5,4,,,,,13,26.302635521725286,26.758010015694364,21.719514192622356,20.39
station_16,CITIES@Khalifa City 2,5,129,13.925297896815986,129,14.615242926882855,16.82880285184768,11.095905814045175,12.07077519379845,124,12.864125726603566,15.248501645058601,10.177231169755622,11.126048387096775,5,37.509615891659074,39.24748807248688,33.87903699242606,35.5,4,,,,,13,26.039122169512222,26.758010015694364,21.3955682249009,20.39
station_16,CITIES@Khalifa City 2,8,129,19.38087679175605,129,15.088749533659056,16.82880285184768,11.312215808794573,12.07077519379845,124,13.34936810179506,15.248501645058601,10.374550176030343,11.126048387096775,5,38.136541007829585,39.24748807248688,34.566323501347505,35.5,4,,,,,13,26.54551143728957,26.758010015694364,21.966571424675546,20.39
station_17,CITIES@Sas Al Nakhl,0,140,0.0,140,9.66587740144096,9.702864010177613,7.669781823449782,7.171428571428572,139,9.304603614867622,9.539594956938478,7.492276517599197,7.05726618705036,1,,,,,1,,,,,14,15.27920176054877,14.165877765149,12.861081945822276,11.692142857142857
station_17,CITIES@Sas Al Nakhl,1,140,1.3978825456909771,140,9.613189722812374,9.702864010177613,7.676182879110041,7.171428571428572,139,9.25638872946262,9.539594956938478,7.500713407339868,7.05726618705036,1,,,,,1,,,,,14,15.285068362380732,14.165877765149,13.031134774897058,11.692142857142857
station_17,CITIES@Sas Al Nakhl,2,140,6.57911088264013,140,9.689253542306103,9.702864010177613,7.723447825829239,7.171428571428572,139,9.341564981928702,9.539594956938478,7.549966550626395,7.05726618705036,1,,,,,1,,,,,14,15.665263135481045,14.165877765149,13.392963626604294,11.692142857142857
station_17,CITIES@Sas Al Nakhl,3,140,7.71790705742018,140,9.75590318726262,9.702864010177613,7.813629211329612,7.171428571428572,139,9.37441843230078,9.539594956938478,7.630198490718463,7.05726618705036,1,,,,,1,,,,,14,15.414594312234787,14.165877765149,13.035594203547248,11.692142857142857
station_17,CITIES@Sas Al Nakhl,5,140,10.774195098016213,140,9.671451645058669,9.702864010177613,7.755562182881285,7.171428571428572,139,9.29785635213416,9.539594956938478,7.575082969435001,7.05726618705036,1,,,,,1,,,,,14,15.104816750095537,14.165877765149,12.69256609770035,11.692142857142857
station_17,CITIES@Sas Al Nakhl,8,140,16.333363135570117,140,9.814662879723482,9.702864010177613,7.763693657521711,7.171428571428572,139,9.438460047248638,9.539594956938478,7.58060379355769,7.05726618705036,1,,,,,1,,,,,14,15.843222617098093,14.165877765149,13.272486285218784,11.692142857142857
station_18,CITIES@Al Danah,0,119,0.0,119,9.680010974344187,10.23856509116636,7.754158425968902,7.883529411764707,119,9.680010974344187,10.23856509116636,7.754158425968902,7.883529411764707,0,,,,,0,,,,,12,10.694394628776262,12.328402843299154,9.23544934494817,10.258333333333333
station_18,CITIES@Al Danah,1,119,0.2283668452804981,119,9.831551166673073,10.23856509116636,7.936602711384248,7.883529411764707,119,9.831551166673073,10.23856509116636,7.936602711384248,7.883529411764707,0,,,,,0,,,,,12,11.089477550106873,12.328402843299154,9.75064104317112,10.258333333333333
station_18,CITIES@Al Danah,2,119,0.8657839315928381,119,9.762814770415396,10.23856509116636,7.873861808206303,7.883529411764707,119,9.762814770415396,10.23856509116636,7.873861808206303,7.883529411764707,0,,,,,0,,,,,12,10.868011203824324,12.328402843299154,9.58702881533325,10.258333333333333
station_18,CITIES@Al Danah,3,119,7.804227926281145,119,9.653574604540555,10.23856509116636,7.763179682137284,7.883529411764707,119,9.653574604540555,10.23856509116636,7.763179682137284,7.883529411764707,0,,,,,0,,,,,12,9.75724304754337,12.328402843299154,8.363626581871461,10.258333333333333
