target,name,K,n_test,n_adapt,lstm_repr,persistence,pooled_transfer,local_lag1,local_mean,local_ridge_hi,local_ridge_unreg,local_ridgecv,mae_persistence,mae_pooled_transfer,mae_local_lag1,mae_local_mean,mae_local_ridge_hi,mae_local_ridge_unreg,mae_local_ridgecv
station_17,CITIES@Sas Al Nakhl,30,350,16,10.109157854519822,10.65030658177098,10.184973061429275,11.122155056563805,14.199757091027877,14.402268169384342,39.41619275564472,38.529602157293915,7.908628571428571,8.076888748509266,8.311201896424523,10.642496428571429,10.791796026261629,32.32391681868478,31.024672841148526
station_17,CITIES@Sas Al Nakhl,90,290,76,9.848715578232698,10.340353608973954,9.889053896570706,9.996843562407392,14.702711707654835,13.873863332416013,93.90958612157833,50.69725144704782,7.652103448275862,7.840391048131154,7.895702260943089,11.881268602540835,10.779635260726227,81.08506253945122,43.13481773944264
station_18,CITIES@Al Danah,30,310,16,11.707232470391212,12.29631412122112,11.336241681449575,15.779490959187429,20.056874321046188,19.190544132063465,96.01309500544188,53.927764908085784,9.15241935483871,8.697509913297534,13.392148982801336,17.185387096774193,16.09051907281829,82.42572978466843,45.90748735193664
station_18,CITIES@Al Danah,90,271,55,11.833485422104255,12.448336111935584,11.461540819004574,11.440389734108246,15.38003090292256,15.893120665848869,44.60608276036169,23.360896880533694,9.23678966789668,8.696842173758583,8.537316090396331,11.383431734317343,11.651027884844972,38.19385611223706,18.95600159043653
station_19,CITIES@Shakhbout[31],30,327,16,9.654338510170732,9.844875007554595,9.558189119261947,16.87786862675162,22.551549535743916,23.82395876335139,51.06554567463124,82.16285661299463,7.397920489296636,7.398926079712815,15.051795873672372,20.322083333333335,21.71053414003095,44.86330073435733,68.54757152485985
station_19,CITIES@Shakhbout[31],90,267,76,9.59543625130706,9.770016963172282,9.415497952369403,9.09794521415801,13.240711895266758,12.862226452696357,46.01732407824803,35.163041577486055,7.292883895131086,7.268563983887181,6.795966905424698,10.171738616203427,9.246811872087193,39.98807293599563,30.335330945639885
station_20,Abu dhabi al muzoon,90,183,59,11.800476097302557,11.955186793054745,11.263390248238533,13.139683465783346,18.69527795502501,18.98678863318545,71.83806799972437,29.05403436329554,8.57535519125683,8.561718152373155,9.14718892422898,13.68781652310827,14.005581015038544,66.20988325577088,25.158559923325285
station_21,CITIES@Bateen-BWA,30,215,16,14.93162151115647,16.434843133939836,14.715640792215874,17.815011688028644,20.18858907310558,19.17029122402502,1650.1523483146625,112.7256158067988,11.354790697674417,10.662745135998836,12.174569421147968,14.21740988372093,15.020271281613484,1403.7129008113309,93.72477610777807
station_21,CITIES@Bateen-BWA,90,155,76,16.139661054496496,17.82374798570897,15.925422812752453,17.596949507499247,22.109017994874428,21.508169532122526,19.418312626058693,19.08259263264584,12.268774193548387,11.34932901608214,12.084297062723511,15.923467741935486,15.386825626834728,15.069794136576569,13.756447613636885
station_22,Mamsha Azure 3,30,141,16,13.035579942960664,13.749459924918883,12.376152419273645,16.883445027831357,18.393786615276248,18.877497288897747,38.58855568429125,19.744782839374338,9.837872340425532,8.814796408155065,14.194212779728268,15.486054964539012,15.891444386182723,30.784583589324637,16.626818279135446
station_22,Mamsha Azure 3,90,81,76,11.693870312471905,12.194108322373465,11.079383943429153,13.33998644506901,17.794586453422358,16.422049228431778,18.134039466148824,13.070568465349298,8.453950617283951,7.924171699330294,11.213207284380163,14.731254061078623,13.498429611128959,15.319773686982806,10.081764909580901
station_27,Sheleila,30,291,16,12.33792986049214,12.555055552695555,11.865082042443268,17.469595566851183,32.44640278005069,30.00754742474569,124.26935866857329,22.470492072827124,9.467079037800687,9.334504085322703,15.169043066967973,29.253240979381435,26.958390025103085,100.45565714580128,18.369563503932536
station_27,Sheleila,90,231,76,12.109038879090932,12.373207019526182,11.57399414977186,12.014231453552712,20.03381153049147,18.542516025731583,48.898160827596634,36.23031747712329,9.174891774891774,9.098987815182499,9.57756711494224,16.836248006379584,15.56217986628276,43.86822279537148,32.204146759754195
