condition,target,name,K,n_test,extrel_threshold,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
interp,station_17,CITIES@Sas Al Nakhl,30,350,49.33,350,10.184973061429275,10.65030658177098,8.076888748509266,7.908628571428571,346,9.603350144869566,10.34286204953554,7.791713928804038,7.765549132947977,4,,,,,3,,,,,36,17.456726598872685,15.0418915033981,14.627278549114534,11.894444444444442
interp,station_17,CITIES@Sas Al Nakhl,90,290,49.33,290,9.889053896570706,10.340353608973954,7.840391048131154,7.652103448275862,287,9.334844617028802,10.026377215609156,7.578670315967491,7.529651567944252,3,,,,,2,,,,,23,18.736084470264643,16.255270717123,15.95598338231226,12.820869565217386
interp,station_18,CITIES@Al Danah,30,310,50.79,310,11.336241681449575,12.29631412122112,8.697509913297534,9.15241935483871,304,10.51269522544931,11.830075980202679,8.290211826134321,8.923848684210526,6,32.25192779278112,26.853874953160858,29.333946329567084,20.733333333333334,3,,,,,29,18.83261870715273,17.14818870499357,14.636158163486412,13.256206896551722
interp,station_18,CITIES@Al Danah,90,271,50.79,271,11.461540819004574,12.448336111935584,8.696842173758583,9.23678966789668,265,10.525676366056102,11.922337826336033,8.229586985325183,8.976490566037738,6,32.25192779278112,26.853874953160858,29.333946329567084,20.733333333333334,3,,,,,28,19.165815345052255,17.327466738430882,15.144551630888474,13.336785714285712
interp,station_19,CITIES@Shakhbout[31],30,327,49.96,327,9.558189119261947,9.844875007554595,7.398926079712815,7.397920489296636,325,9.342647279882799,9.83825935198514,7.278967106522484,7.3864,2,,,,,1,,,,,28,17.869525440705463,16.327763275214046,15.656133538506179,13.6725
interp,station_19,CITIES@Shakhbout[31],90,267,49.96,267,9.415497952369403,9.770016963172282,7.268563983887181,7.292883895131086,265,9.145209149732391,9.761272960598978,7.120460623590922,7.277962264150943,2,,,,,1,,,,,21,19.069099102320685,17.77432257097701,17.30429894065777,15.435238095238091
interp,station_20,Abu dhabi al muzoon,30,242,44.956,242,10.752456288529254,11.300214389467746,8.354419001334392,8.25198347107438,238,9.719298103180423,10.522053161388818,7.898616630130012,7.982563025210084,4,,,,,2,,,,,25,19.506244824715974,19.832688168778333,15.527567384005597,14.8472
interp,station_20,Abu dhabi al muzoon,90,183,44.956,183,11.263390248238533,11.955186793054745,8.561718152373155,8.57535519125683,179,9.949540279294007,10.985829572528788,7.9603116286721045,8.224357541899442,4,,,,,2,,,,,25,19.506244824715974,19.832688168778333,15.527567384005597,14.8472
interp,station_21,CITIES@Bateen-BWA,30,215,54.87,215,14.715640792215874,16.434843133939836,10.662745135998836,11.354790697674417,206,12.341698697454035,14.693266306620918,9.482764619230887,10.442912621359222,9,41.07020755271572,38.8710223402701,37.67118807535413,32.22666666666666,6,47.5659178051714,47.32635928669492,46.45561099384097,44.79833333333334,23,30.35952318556917,29.023202636930815,26.071394980253725,23.921304347826084
interp,station_21,CITIES@Bateen-BWA,90,155,54.87,155,15.925422812752453,17.82374798570897,11.34932901608214,12.268774193548387,146,12.855919612934136,15.62460331551247,9.726748663113318,11.03849315068493,9,41.07020755271572,38.8710223402701,37.67118807535413,32.22666666666666,6,47.5659178051714,47.32635928669492,46.45561099384097,44.79833333333334,22,30.719274139417887,29.431010083676274,26.304849024242777,24.19818181818182
interp,station_22,Mamsha Azure 3,30,141,59.224000000000004,141,12.376152419273645,13.749459924918883,8.814796408155065,9.837872340425532,135,10.648778824696905,12.890902304424706,7.912447125936032,9.323925925925925,6,32.37366150561497,26.52685588857702,29.117655258083303,21.40166666666667,3,,,,,13,26.849028549152347,25.38752585879076,23.7880825236647,21.5423076923077
interp,station_22,Mamsha Azure 3,90,81,59.224000000000004,81,11.079383943429153,12.194108322373465,7.924171699330294,8.453950617283951,78,9.777578774512607,12.037652680289543,7.131155390474483,8.276923076923078,3,,,,,1,,,,,4,,,,
interp,station_27,Sheleila,30,291,61.664000000000016,291,11.865082042443268,12.555055552695555,9.334504085322703,9.467079037800687,282,10.668421942675577,12.048177314255657,8.670066859715485,9.13049645390071,9,31.39556952583617,23.41756842866294,30.153537154348903,20.013333333333335,6,33.09448238799812,27.6022991192159,32.29981989142656,25.348333333333333,21,23.84434546711751,18.10147770868708,21.571365344534566,14.868571428571432
interp,station_27,Sheleila,90,231,61.664000000000016,231,11.57399414977186,12.373207019526182,9.098987815182499,9.174891774891774,224,10.319993462822145,11.784051135357242,8.437705499779456,8.821383928571429,7,31.82011559971646,24.66845672397966,30.26002190807984,20.487142857142853,4,,,,,12,26.290064327840177,20.181913107202366,23.879335249887532,16.206666666666663
no_interp,station_12,CITIES@Saadiyat,30,565,54.08,565,11.607479252916466,12.028233342645658,9.042143707944964,8.789185840707963,551,10.673805781916004,11.639953263575478,8.552778180542017,8.602631578947367,14,30.87875841148237,22.502578264977295,28.302172679303773,16.131428571428568,7,36.74315023245775,29.20242529066966,34.371102453887524,24.592857142857138,59,21.40033760576849,18.084341995873913,18.467982612248413,13.892033898305087
no_interp,station_12,CITIES@Saadiyat,90,505,54.08,505,11.655079607474061,12.19209339638352,9.085094599932505,8.905663366336634,492,10.684066070707926,11.80422300242828,8.581140666034637,8.730792682926829,13,30.93194138546697,22.380766983488986,28.15781271360563,15.523846153846154,6,37.726318180881265,29.977854604135146,35.069810823972155,24.686666666666667,55,21.563275374385174,18.352817519636893,18.590525803702167,14.037636363636365
no_interp,station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,57.129,594,11.51109655377333,12.133064224454904,8.976121884797655,8.984444444444446,576,10.540036407572293,11.811504484799743,8.426487070522029,8.828541666666666,18,28.595814179443476,19.839323185140273,26.564435941617646,13.973333333333333,8,33.429942307980255,27.612641805883044,31.12677124096266,23.466250000000002,61,21.534058545294812,18.444965815485432,18.996010084824714,14.578688524590163
no_interp,station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,57.129,534,11.642961701596219,12.28736598793038,9.098868646588988,9.147228464419474,516,10.571764623385416,11.938002183113849,8.489604671181013,8.978875968992249,18,28.595814179443476,19.839323185140273,26.564435941617646,13.973333333333333,8,33.429942307980255,27.612641805883044,31.12677124096266,23.466250000000002,60,21.336156780515136,18.003631902109827,18.792791600339125,14.2195
no_interp,station_14,CITIES@West Yas Island,30,387,60.05,387,11.893477433207181,12.513374622556636,9.211601675027147,9.419095607235143,376,10.502675797834875,11.809693942293269,8.547437863416881,9.03343085106383,11,34.72996992244641,27.232873183308843,31.91392832643252,22.601818181818185,6,41.1269385620103,35.42098765797852,40.31775636323555,32.593333333333334,37,23.137689241458496,19.865042295585614,19.31959331117508,15.98675675675676
no_interp,station_14,CITIES@West Yas Island,90,327,60.05,327,11.716078565404777,12.535055797770148,9.03289721062464,9.34874617737003,319,10.266529368582592,11.704227232488178,8.386351771601987,8.920971786833856,8,37.521703785704176,30.9864137566773,34.81389659165304,26.406250000000007,5,42.78186471897647,38.21118108616901,42.06589566599122,36.096000000000004,24,25.392916980782374,23.308531163503204,21.32524821059816,19.245833333333334
no_interp,station_15,CITIES@Khalifa City 1,30,367,70.724,367,18.08040949594657,20.42504864771637,12.691430247156108,13.572833787465939,338,13.971721327555132,17.4910706212996,10.70905356390547,11.864615384615384,29,43.148541442822776,41.39762041303907,35.796372279525634,33.48241379310345,19,48.65305924465086,45.49658905664768,43.754164877641855,39.59947368421052,38,38.784471490742355,37.023302725943324,31.18038954327578,28.806052631578943
no_interp,station_15,CITIES@Khalifa City 1,90,307,70.724,307,18.877015573768926,21.486237827058325,13.066307038116557,14.184527687296416,282,14.326061505496304,18.156220677519322,10.868861308891642,12.190744680851063,25,45.39618676558127,44.1670914595924,37.853494863773605,36.674400000000006,17,50.38429882539706,47.639611422329935,45.38128035389078,42.16235294117647,31,41.55880725405479,40.413693822602966,33.682818190844785,32.52548387096774
no_interp,station_16,CITIES@Khalifa City 2,30,329,73.376,329,16.97372676493882,18.518673226090232,12.318984953605845,13.060273556231003,300,13.477155775511394,16.299310936355564,10.51114963939891,11.660833333333333,29,37.27679150229116,33.7982925502213,31.02072958333276,27.53724137931034,19,35.1738451618413,33.73975641817668,32.580448501254445,29.585789473684212,31,36.1419379490029,32.83161640071763,29.637935903831803,26.48806451612903
