target,name,K,n_test,n_all,rmse_all_persistence,rmse_all_ridge,rmse_all_lstm,mae_all_persistence,mae_all_ridge,mae_all_lstm,n_normal,rmse_normal_persistence,rmse_normal_ridge,rmse_normal_lstm,mae_normal_persistence,mae_normal_ridge,mae_normal_lstm,n_ext,rmse_ext_persistence,rmse_ext_ridge,rmse_ext_lstm,mae_ext_persistence,mae_ext_ridge,mae_ext_lstm,n_onset,rmse_onset_persistence,rmse_onset_ridge,rmse_onset_lstm,mae_onset_persistence,mae_onset_ridge,mae_onset_lstm,n_extrel,rmse_extrel_persistence,rmse_extrel_ridge,rmse_extrel_lstm,mae_extrel_persistence,mae_extrel_ridge,mae_extrel_lstm
station_17,CITIES@Sas Al Nakhl,30,350,350,10.65030658177098,10.185138742956823,10.109157854519822,7.908628571428571,8.076251333133987,7.892890249851771,346,10.34286204953554,9.603521623212815,9.442470709224551,7.765549132947977,7.791067018401179,7.582233771836825,4,,,,,,,3,,,,,,,36,15.0418915033981,17.45549260247706,17.72387686317963,11.894444444444442,14.625814207480381,14.403202370537652
station_17,CITIES@Sas Al Nakhl,90,290,290,10.340353608973954,9.890101105996814,9.848715578232698,7.652103448275862,7.84162481687326,7.72452793252879,287,10.026377215609156,9.33588135247805,9.206928942751766,7.529651567944252,7.57989234523379,7.437246599895198,3,,,,,,,2,,,,,,,23,16.255270717123,18.736887994687763,19.367509152854932,12.820869565217386,15.957030346488079,16.274005863355555
station_18,CITIES@Al Danah,30,310,310,12.29631412122112,11.337248022489911,11.707232470391213,9.15241935483871,8.698893014462163,8.901736112286967,304,11.830075980202679,10.513648665733582,10.832766410848851,8.923848684210526,8.291560572228716,8.482505644497119,6,26.853874953160858,32.254457137113974,33.70048666770243,20.733333333333334,29.337070087623392,30.142746480305988,3,,,,,,,29,17.14818870499357,18.83421593484554,19.436970190973483,13.256206896551722,14.637683620533274,15.074062373720366
station_18,CITIES@Al Danah,90,271,271,12.448336111935584,11.462228892962159,11.833485422104257,9.23678966789668,8.697290583207709,8.961694359867334,265,11.922337826336033,10.526267105637046,10.839161427720162,8.976490566037738,8.22997482084358,8.482123368461176,6,26.853874953160858,32.254457137113974,33.70048666770243,20.733333333333334,29.337070087623392,30.142746480305988,3,,,,,,,28,17.327466738430882,19.167445728701722,19.775792504748548,13.336785714285712,15.146366263864426,15.526533835274833
station_19,CITIES@Shakhbout[31],30,327,327,9.844875007554595,9.557835903941841,9.654338510170733,7.397920489296636,7.398810081495051,7.24990382529909,325,9.83825935198514,9.34223718586431,9.392581454553445,7.3864,7.278833940440143,7.111357696533204,2,,,,,,,1,,,,,,,28,16.327763275214046,17.869410824643495,18.642327256877188,13.6725,15.655434221484288,16.399058916909354
station_19,CITIES@Shakhbout[31],90,267,267,9.770016963172282,9.416372783598451,9.59543625130706,7.292883895131086,7.2693725610031725,7.194536098237341,265,9.761272960598978,9.14605837304242,9.270886893888775,7.277962264150943,7.121255123705706,7.024203165018333,2,,,,,,,1,,,,,,,21,17.77432257097701,19.070183802317228,19.862463249415832,15.435238095238091,17.305568144179503,17.98275319054013
station_20,Abu dhabi al muzoon,30,242,242,11.300214389467746,10.753514988088792,11.118009357558062,8.25198347107438,8.355315545069613,8.26360343838526,238,10.522053161388818,9.720356676030885,9.935997622417974,7.982563025210084,7.899486838196596,7.747238259515842,4,,,,,,,2,,,,,,,25,19.832688168778333,19.507320692008328,20.740405433227075,14.8472,15.528554358581186,16.380453152465822
station_20,Abu dhabi al muzoon,90,183,183,11.955186793054745,11.263740485845197,11.800476097302557,8.57535519125683,8.561924668379731,8.652167688588628,179,10.985829572528788,9.949773725979103,10.320465065622923,8.224357541899442,7.960467708924212,7.974286931213721,4,,,,,,,2,,,,,,,25,19.832688168778333,19.507320692008328,20.740405697181064,14.8472,15.528554358581186,16.38045338134766
station_21,CITIES@Bateen-BWA,30,215,215,16.434843133939836,14.71581803519549,14.93162151115647,11.354790697674417,10.663097826863732,10.525448430970657,206,14.693266306620918,12.34162455056728,12.320776819422731,10.442912621359222,9.483030629860748,9.277370746945873,9,38.8710223402701,41.07223461571596,43.02950727809869,32.22666666666666,37.67352478048763,39.09255986531575,6,47.32635928669492,47.5679662912825,49.28079228420545,44.79833333333334,46.457564536488945,47.85826792399089,23,29.023202636930815,30.36063040946694,31.270780154635307,23.921304347826084,26.072608328276413,26.16733761994735
station_21,CITIES@Bateen-BWA,90,155,155,17.82374798570897,15.925398304044917,16.139661054496496,12.268774193548387,11.34936509576612,11.248920215729745,146,15.62460331551247,12.85548817296571,12.744027609757183,11.03849315068493,9.726642923420272,9.53253140488716,9,38.8710223402701,41.07223461571596,43.02950814268145,32.22666666666666,37.67352478048763,39.09256092495388,6,47.32635928669492,47.5679662912825,49.28079259309677,44.79833333333334,46.457564536488945,47.85826824188232,22,29.431010083676274,30.72052768516493,31.699120713720255,24.19818181818182,26.306278290856586,26.465499264110214
